CountryName,LifeExpectancy,Population,GDP,GDPpercapita,Continent
Korea. Rep.,82.15585366,50617045,1.37787E+12,27221.52405,Asia
Kuwait,74.69790244,3892115,1.14041E+11,29300.57558,Asia
Lao PDR,66.53987805,6802023,12369080043,1818.441373,Asia
Lebanon,79.62860976,5850743,47084703151,8047.645086,Asia
Liberia,61.16095122,4503438,2053000000,455.8739345,Africa
Libya,71.82631707,6278438,34699395524,5517.779569,Africa
St. Lucia,75.1845122,184999,1431135704,7735.910484,America
Liechtenstein,82.07317073,37531,6663501419,178713.228,Europe
Sri Lanka,74.95319512,20966000,82316172384,3926.174396,Asia
Lesotho,49.96121951,2135022,2278037786,1066.985626,Africa
Lithuania,75.1195122,2904910,41400137851,14251.77987,Europe
Luxembourg,82.22926829,569604,56799626262,99717.74472,Europe
Latvia,74.12439024,1977527,27002832428,13654.84892,Europe
Macao SAR. China,80.76607317,587606,46177532874,78585.87706,Asia
Morocco,74.28931707,34377511,1.00593E+11,2878.201342,Africa
Moldova,71.62643902,3554108,6568288862,1848.083643,Europe
Madagascar,65.48278049,24235390,9738652322,401.836006,Africa
Maldives,76.979,409163,3435244659,8395.785198,Asia
Mexico,76.92068293,127017224,1.14379E+12,9005.024265,America
Marshall Islands,65.23902439,52993,179432574,3385.967463,Oceania
Macedonia. FYR,75.49534146,2078453,10086021261,4852.657848,Europe
Mali,58.45721951,17599694,12746688962,724.2562832,Africa
Malta,81.94634146,431874,9746478873,22567.87599,Europe
Myanmar,66.04207317,53897154,62600906116,1161.488158,Asia
Montenegro,76.33770732,622159,3987061628,6408.428758,Europe
Mongolia,69.82126829,2959134,11741338841,3967.829386,Asia
Mozambique,55.3712439,27977863,14807075727,529.2425561,Africa
Mauritania,63.20282927,4067564,5442297174,1370.985212,Africa
Mauritius,74.35317073,1262605,11681761261,9252.110724,Africa
Malawi,63.79685366,17215232,6403820949,371.9857478,Africa
Malaysia,74.87517073,30331007,2.96283E+11,9768.32686,Asia
Namibia,64.91543902,2458830,11491507356,4673.567248,Africa
New Caledonia,77.77317073,273000,2682347064,12579.59511,Oceania
Niger,61.96902439,19899120,7142951342,358.958152,Africa
Nigeria,53.04887805,182201962,4.86793E+11,2671.721164,Africa
Nicaragua,75.09812195,6082032,12692562187,2086.895003,America
Netherlands,81.70731707,16939923,7.50284E+11,44290.86886,Europe
Norway,82.1,5190239,3.86578E+11,74481.81938,Europe
Nepal,69.97334146,28513700,21194888048,743.3229657,Asia
New Zealand,81.45682927,4595700,1.73754E+11,37807.96728,Oceania
