Country Name,Population total,GDP (current US$),GDP per capita (current US$),Access to electricity (% of population),"Access to electricity, rural (% of rural population)","Access to electricity, urban (% of urban population)",Improved sanitation facilities (% of population with access),Improved water source (% of population with access),"Improved water source, rural (% of rural population with access)","Improved water source, urban (% of urban population with access)"
Fiji,892145,4425503074.70408,4960.51995438419,100,76.3112182617188,100,91.1,95.7,91.2,99.5
France,66538391,2418835532882.33,36352.4800724793,100,100,100,98.7,100,100,100
Faroe Islands,48199,,,,100,100,,,,
"Micronesia, Fed. Sts.",104460,314971100,3015.23166762397,71.6941604614258,75.9828109741211,56.8182551203707,57.1,89,87.4,94.8
Gabon,1725292,14262032470.8493,8266.4456050624,89.4941940307617,42.3135871887207,96.5940966155338,41.9,93.2,66.7,97.2
United Kingdom,65128861,2861090726739.55,43929.6908131028,100,100,100,99.2,100,100,100
Georgia,3717100,13965385801.7891,3757.06486287404,100,100,100,86.3,100,100,100
Ghana,27409893,37543361203.5609,1369.70112227585,78.3,63,91.6559792335284,14.9,88.7,84,92.6
Gibraltar,32217,,,100,100,100,,,,
Guinea,12608590,6699203543.29047,531.320595188714,27.6412677764893,3.96444129943848,68.5141361563159,20.1,76.8,67.4,92.7
"Gambia, The",1990924,938794719.358588,471.537195472347,47.2105140686035,12.9599895477295,70.9969616862776,58.9,90.2,84.4,94.2
Guinea-Bissau,1844325,1056776883.4727,572.988428543071,17.2,4,31.1884674123061,20.8,79.3,60.3,98.8
Equatorial Guinea,845060,12202323684.1015,14439.5944478516,67.5613708496094,44.8371429443359,100,74.5,47.9,31.5,72.5
Greece,10820883,194851319174892,18006.9703345736,100,100,100,99,100,100,100
Grenada,106825,984074074.074074,9212.02035173484,90.8073348999023,,,98,96.6,95.3,99
Greenland,56114,,,100,100,100,100,100,100,100
Guatemala,16342897,63794152886.0397,3903.47885604613,85.494371,74.816634,95.706268519183,63.9,92.8,86.8,98.4
Guam,169885,5734000000,33752.2441651706,100,100,100,89.8,99.5,99.5,99.5
Guyana,767085,3166029055.69007,4127.35101806198,86.9,84,94.1901125135698,83.7,98.3,98.3,98.2
"Hong Kong SAR, China",7305700,309234500374107,42327.8399570345,100,100,100,,,,
Honduras,8075060,20420967148.9362,2528.89354988523,88.653773,76.318906,99.1034454943315,82.6,91.2,83.8,97.4
Croatia,4203604,48732003674.38,11592.9101966741,100,100,100,97,99.6,99.7,99.6
Haiti,10711067,8765329889.9646,818.343297634549,37.9401092529297,17.1943893432617,53.3141025241242,27.6,57.7,47.6,64.9
Hungary,9843028,121715203207647,12365.6260256139,100,100,100,98,100,100,100
Indonesia,257563815,861933968740332,3346.48703949478,97.01,94.29,99.4217849926684,60.8,87.4,79.5,94.2
Isle of Man,87780,,,100,100,100,,,,
India,1311050527,2088841351184.16,1593.25770301464,79.1692581176758,70.0289764404297,98.269357312476,39.6,94.1,92.6,97.1
Ireland,4643740,283703217034.49,61093.6910840164,100,100,100,90.5,97.9,97.8,97.9
"Iran, Islamic Rep.",79109272,,,99.4416809082031,94.9147872924805,100,90,96.2,92.1,97.7
Iraq,36423395,180068537409153,4943.76038832056,98.7906036376953,96.0799789428711,99.9879743120017,85.6,86.6,70.1,93.8
Iceland,330815,16779598787.1617,50722.0010796419,100,100,100,98.8,100,100,100
Israel,8380100,299415714726768,35729.3725285817,100,100,100,100,100,100,100
Italy,60730582,1821496964400.58,29993.0760485809,100,100,100,99.5,100,100,100
Jamaica,2793335,14262190323.0222,5105.79301194528,97.0973892211914,100,94.6795739428114,81.8,93.8,89.4,97.5
Jordan,7594547,37517410281.6901,4940.04583574111,100,100,100,98.6,96.9,92.3,97.8
Japan,126958472,4383076298081.86,34523.7007742331,100,100,100,100,100,100,100
Kazakhstan,17544126,184388432148715,10509.9810699442,100,100,100,97.5,92.9,85.6,99.4
Kenya,46050302,63398041540367,1376.71282894881,36,12.6,100,30.1,63.2,56.8,81.6
Kyrgyz Republic,5956900,6571853849.00585,1103.23387147776,99.8,99.7,99.9810172385812,93.3,90,86.2,96.7
