Country Name,Population total,GDP (current US$),GDP per capita (current US$),Access to electricity (% of population),"Access to electricity, rural (% of rural population)","Access to electricity, urban (% of urban population)",Improved sanitation facilities (% of population with access),Improved water source (% of population with access),"Improved water source, rural (% of rural population with access)","Improved water source, urban (% of urban population with access)",maximum percentage
"Micronesia, Fed. Sts.",104460,314971100,3015.231668,71.69416046,75.98281097,56.81825512,57.1,89,87.4,94.8,100
Gabon,1725292,14262032471,8266.445605,89.49419403,42.31358719,96.59409662,41.9,93.2,66.7,97.2,100
United Kingdom,65128861,2.86E+12,43929.69081,100,100,100,99.2,100,100,100,100
Georgia,3717100,13965385802,3757.064863,100,100,100,86.3,100,100,100,100
Ghana,27409893,37543361204,1369.701122,78.3,63,91.65597923,14.9,88.7,84,92.6,100
Gibraltar,32217,0,0,100,100,100,0,0,0,0,100
Guinea,12608590,6699203543,531.3205952,27.64126778,3.964441299,68.51413616,20.1,76.8,67.4,92.7,100
"Gambia, The",1990924,938794719.4,471.5371955,47.21051407,12.95998955,70.99696169,58.9,90.2,84.4,94.2,100
Guinea-Bissau,1844325,1056776883,572.9884285,17.2,4,31.18846741,20.8,79.3,60.3,98.8,100
Equatorial Guinea,845060,12202323684,14439.59445,67.56137085,44.83714294,100,74.5,47.9,31.5,72.5,100
Greece,10820883,1.95E+14,18006.97033,100,100,100,99,100,100,100,100
Grenada,106825,984074074.1,9212.020352,90.8073349,0,0,98,96.6,95.3,99,100
Greenland,56114,0,0,100,100,100,100,100,100,100,100
Guatemala,16342897,63794152886,3903.478856,85.494371,74.816634,95.70626852,63.9,92.8,86.8,98.4,100
Guam,169885,5734000000,33752.24417,100,100,100,89.8,99.5,99.5,99.5,100
Guyana,767085,3166029056,4127.351018,86.9,84,94.19011251,83.7,98.3,98.3,98.2,100
"Hong Kong SAR, China",7305700,3.09E+14,42327.83996,100,100,100,0,0,0,0,100
Honduras,8075060,20420967149,2528.89355,88.653773,76.318906,99.10344549,82.6,91.2,83.8,97.4,100
Croatia,4203604,48732003674,11592.9102,100,100,100,97,99.6,99.7,99.6,100
Haiti,10711067,8765329890,818.3432976,37.94010925,17.19438934,53.31410252,27.6,57.7,47.6,64.9,100
Hungary,9843028,1.22E+14,12365.62603,100,100,100,98,100,100,100,100
Indonesia,257563815,8.62E+14,3346.487039,97.01,94.29,99.42178499,60.8,87.4,79.5,94.2,100
Isle of Man,87780,0,0,100,100,100,0,0,0,0,100
India,1311050527,2.09E+12,1593.257703,79.16925812,70.02897644,98.26935731,39.6,94.1,92.6,97.1,100
Ireland,4643740,2.84E+11,61093.69108,100,100,100,90.5,97.9,97.8,97.9,100
"Iran, Islamic Rep.",79109272,0.00E+00,0,99.44168091,94.91478729,100,90,96.2,92.1,97.7,100
Iraq,36423395,1.80E+14,4943.760388,98.79060364,96.07997894,99.98797431,85.6,86.6,70.1,93.8,100
Iceland,330815,16779598787,50722.00108,100,100,100,98.8,100,100,100,100
Israel,8380100,2.99E+14,35729.37253,100,100,100,100,100,100,100,100
Italy,60730582,1.82E+12,29993.07605,100,100,100,99.5,100,100,100,100
Jamaica,2793335,14262190323,5105.793012,97.09738922,100,94.67957394,81.8,93.8,89.4,97.5,100
Jordan,7594547,37517410282,4940.045836,100,100,100,98.6,96.9,92.3,97.8,100
Japan,126958472,4.38E+12,34523.70077,100,100,100,100,100,100,100,100
Kazakhstan,17544126,1.84E+14,10509.98107,100,100,100,97.5,92.9,85.6,99.4,100
Kenya,46050302,6.34E+13,1376.712829,36,12.6,100,30.1,63.2,56.8,81.6,100
Kyrgyz Republic,5956900,6571853849,1103.233871,99.8,99.7,99.98101724,93.3,90,86.2,96.7,100
Cambodia,15577899,18049954289,1158.689904,56.1,49.2,82.83556402,42.4,75.5,69.1,100,100
